"Id","Weekly_Sales"
"32_72_2013-03-15",15768.6021602995
"32_72_2013-03-22",15768.6021602995
"32_72_2013-03-29",15768.6021602995
"32_72_2013-04-05",15768.6021602995
"32_72_2013-04-12",15768.6021602995
"32_72_2013-04-19",15768.6021602995
"32_72_2013-04-26",15768.6021602995
"32_72_2013-05-03",15768.6021602995
"32_72_2013-05-10",15768.6021602995
"32_72_2013-05-17",15768.6021602995
"32_72_2013-05-24",15768.6021602995
"32_72_2013-05-31",15768.6021602995
"32_72_2013-06-07",15768.6021602995
"32_72_2013-06-14",15768.6021602995
"32_72_2013-06-21",15768.6021602995
"32_72_2013-06-28",15768.6021602995
"32_72_2013-07-05",15768.6021602995
"32_72_2013-07-12",15768.6021602995
"32_72_2013-07-19",15768.6021602995
"32_72_2013-07-26",15768.6021602995
"32_74_2012-11-02",15768.6021602995
"32_74_2012-11-09",15768.6021602995
"32_74_2012-11-16",15768.6021602995
"32_74_2012-11-23",16436.3345157501
"32_74_2012-11-30",15768.6021602995
"32_74_2012-12-07",15768.6021602995
"32_74_2012-12-14",15768.6021602995
"32_74_2012-12-21",15768.6021602995
"32_74_2012-12-28",16436.3345157501
"32_74_2013-01-04",15768.6021602995
"32_74_2013-01-11",15768.6021602995
"32_74_2013-01-18",15768.6021602995
"32_74_2013-01-25",15768.6021602995
"32_74_2013-02-01",15768.6021602995
"32_74_2013-02-08",16436.3345157501
"32_74_2013-02-15",15768.6021602995
"32_74_2013-02-22",15768.6021602995
"32_74_2013-03-01",15768.6021602995
"32_74_2013-03-08",15768.6021602995
"32_74_2013-03-15",15768.6021602995
"32_74_2013-03-22",15768.6021602995
"32_74_2013-03-29",15768.6021602995
"32_74_2013-04-05",15768.6021602995
"32_74_2013-04-12",15768.6021602995
"32_74_2013-04-19",15768.6021602995
"32_74_2013-04-26",15768.6021602995
"32_74_2013-05-03",15768.6021602995
"32_74_2013-05-10",15768.6021602995
"32_74_2013-05-17",15768.6021602995
"32_74_2013-05-24",15768.6021602995
"32_74_2013-05-31",15768.6021602995
"32_74_2013-06-07",15768.6021602995
"32_74_2013-06-14",15768.6021602995
"32_74_2013-06-21",15768.6021602995
"32_74_2013-06-28",15768.6021602995
"32_74_2013-07-05",15768.6021602995
"32_74_2013-07-12",15768.6021602995
"32_74_2013-07-19",15768.6021602995
"32_74_2013-07-26",15768.6021602995
"32_79_2012-11-02",15768.6021602995
"32_79_2012-11-09",15768.6021602995
"32_79_2012-11-16",15768.6021602995
"32_79_2012-11-23",16436.3345157501
"32_79_2012-11-30",15768.6021602995
"32_79_2012-12-07",15768.6021602995
"32_79_2012-12-14",15768.6021602995
"32_79_2012-12-21",15768.6021602995
"32_79_2012-12-28",16436.3345157501
"32_79_2013-01-04",15768.6021602995
"32_79_2013-01-11",15768.6021602995
"32_79_2013-01-18",15768.6021602995
"32_79_2013-01-25",15768.6021602995
"32_79_2013-02-01",15768.6021602995
"32_79_2013-02-08",16436.3345157501
"32_79_2013-02-15",15768.6021602995
"32_79_2013-02-22",15768.6021602995
"32_79_2013-03-01",15768.6021602995
"32_79_2013-03-08",15768.6021602995
"32_79_2013-03-15",15768.6021602995
"32_79_2013-03-22",15768.6021602995
"32_79_2013-03-29",15768.6021602995
"32_79_2013-04-05",15768.6021602995
"32_79_2013-04-12",15768.6021602995
"32_79_2013-04-19",15768.6021602995
"32_79_2013-04-26",15768.6021602995
"32_79_2013-05-03",15768.6021602995
"32_79_2013-05-10",15768.6021602995
"32_79_2013-05-17",15768.6021602995
"32_79_2013-05-24",15768.6021602995
"32_79_2013-05-31",15768.6021602995
"32_79_2013-06-07",15768.6021602995
"32_79_2013-06-14",15768.6021602995
"32_79_2013-06-21",15768.6021602995
"32_79_2013-06-28",15768.6021602995
"32_79_2013-07-05",15768.6021602995
"32_79_2013-07-12",15768.6021602995
"32_79_2013-07-19",15768.6021602995
"32_79_2013-07-26",15768.6021602995
"32_80_2012-11-02",15768.6021602995
"32_80_2012-11-09",15768.6021602995
"32_80_2012-11-16",15768.6021602995
"32_80_2012-11-23",16436.3345157501
"32_80_2012-11-30",15768.6021602995
"32_80_2012-12-07",15768.6021602995
"32_80_2012-12-14",15768.6021602995
"32_80_2012-12-21",15768.6021602995
"32_80_2012-12-28",16436.3345157501
"32_80_2013-01-04",15768.6021602995
"32_80_2013-01-11",15768.6021602995
"32_80_2013-01-18",15768.6021602995
"32_80_2013-01-25",15768.6021602995
"32_80_2013-02-01",15768.6021602995
"32_80_2013-02-08",16436.3345157501
"32_80_2013-02-15",15768.6021602995
"32_80_2013-02-22",15768.6021602995
"32_80_2013-03-01",15768.6021602995
"32_80_2013-03-08",15768.6021602995
"32_80_2013-03-15",15768.6021602995
"32_80_2013-03-22",15768.6021602995
"32_80_2013-03-29",15768.6021602995
"32_80_2013-04-05",15768.6021602995
"32_80_2013-04-12",15768.6021602995
"32_80_2013-04-19",15768.6021602995
"32_80_2013-04-26",15768.6021602995
"32_80_2013-05-03",15768.6021602995
"32_80_2013-05-10",15768.6021602995
"32_80_2013-05-17",15768.6021602995
"32_80_2013-05-24",15768.6021602995
"32_80_2013-05-31",15768.6021602995
"32_80_2013-06-07",15768.6021602995
"32_80_2013-06-14",15768.6021602995
"32_80_2013-06-21",15768.6021602995
"32_80_2013-06-28",15768.6021602995
"32_80_2013-07-05",15768.6021602995
"32_80_2013-07-12",15768.6021602995
"32_80_2013-07-19",15768.6021602995
"32_80_2013-07-26",15768.6021602995
"32_81_2012-11-02",15768.6021602995
"32_81_2012-11-09",15768.6021602995
"32_81_2012-11-16",15768.6021602995
"32_81_2012-11-23",16436.3345157501
"32_81_2012-11-30",15768.6021602995
"32_81_2012-12-07",15768.6021602995
"32_81_2012-12-14",15768.6021602995
"32_81_2012-12-21",15768.6021602995
"32_81_2012-12-28",16436.3345157501
"32_81_2013-01-04",15768.6021602995
"32_81_2013-01-11",15768.6021602995
"32_81_2013-01-18",15768.6021602995
"32_81_2013-01-25",15768.6021602995
"32_81_2013-02-01",15768.6021602995
"32_81_2013-02-08",16436.3345157501
"32_81_2013-02-15",15768.6021602995
"32_81_2013-02-22",15768.6021602995
"32_81_2013-03-01",15768.6021602995
"32_81_2013-03-08",15768.6021602995
"32_81_2013-03-15",15768.6021602995
"32_81_2013-03-22",15768.6021602995
"32_81_2013-03-29",15768.6021602995
"32_81_2013-04-05",15768.6021602995
"32_81_2013-04-12",15768.6021602995
"32_81_2013-04-19",15768.6021602995
"32_81_2013-04-26",15768.6021602995
"32_81_2013-05-03",15768.6021602995
"32_81_2013-05-10",15768.6021602995
"32_81_2013-05-17",15768.6021602995
"32_81_2013-05-24",15768.6021602995
"32_81_2013-05-31",15768.6021602995
"32_81_2013-06-07",15768.6021602995
"32_81_2013-06-14",15768.6021602995
"32_81_2013-06-21",15768.6021602995
"32_81_2013-06-28",15768.6021602995
"32_81_2013-07-05",15768.6021602995
"32_81_2013-07-12",15768.6021602995
"32_81_2013-07-19",15768.6021602995
"32_81_2013-07-26",15768.6021602995
"32_82_2012-11-02",15768.6021602995
"32_82_2012-11-09",15768.6021602995
"32_82_2012-11-16",15768.6021602995
"32_82_2012-11-23",16436.3345157501
"32_82_2012-11-30",15768.6021602995
"32_82_2012-12-07",15768.6021602995
"32_82_2012-12-14",15768.6021602995
"32_82_2012-12-21",15768.6021602995
"32_82_2012-12-28",16436.3345157501
"32_82_2013-01-04",15768.6021602995
"32_82_2013-01-11",15768.6021602995
"32_82_2013-01-18",15768.6021602995
"32_82_2013-01-25",15768.6021602995
"32_82_2013-02-01",15768.6021602995
"32_82_2013-02-08",16436.3345157501
"32_82_2013-02-15",15768.6021602995
"32_82_2013-02-22",15768.6021602995
"32_82_2013-03-01",15768.6021602995
"32_82_2013-03-08",15768.6021602995
"32_82_2013-03-15",15768.6021602995
"32_82_2013-03-22",15768.6021602995
"32_82_2013-03-29",15768.6021602995
"32_82_2013-04-05",15768.6021602995
"32_82_2013-04-12",15768.6021602995
"32_82_2013-04-19",15768.6021602995
"32_82_2013-04-26",15768.6021602995
"32_82_2013-05-03",15768.6021602995
"32_82_2013-05-10",15768.6021602995
"32_82_2013-05-17",15768.6021602995
"32_82_2013-05-24",15768.6021602995
"32_82_2013-05-31",15768.6021602995
"32_82_2013-06-07",15768.6021602995
"32_82_2013-06-14",15768.6021602995
"32_82_2013-06-21",15768.6021602995
"32_82_2013-06-28",15768.6021602995
"32_82_2013-07-05",15768.6021602995
"32_82_2013-07-12",15768.6021602995
"32_82_2013-07-19",15768.6021602995
"32_82_2013-07-26",15768.6021602995
"32_83_2012-11-02",15768.6021602995
"32_83_2012-11-09",15768.6021602995
"32_83_2012-11-16",15768.6021602995
"32_83_2012-11-23",16436.3345157501
"32_83_2012-11-30",15768.6021602995
"32_83_2012-12-07",15768.6021602995
"32_83_2012-12-14",15768.6021602995
"32_83_2012-12-21",15768.6021602995
"32_83_2012-12-28",16436.3345157501
"32_83_2013-01-04",15768.6021602995
"32_83_2013-01-11",15768.6021602995
"32_83_2013-01-18",15768.6021602995
"32_83_2013-01-25",15768.6021602995
"32_83_2013-02-01",15768.6021602995
"32_83_2013-02-08",16436.3345157501
"32_83_2013-02-15",15768.6021602995
"32_83_2013-02-22",15768.6021602995
"32_83_2013-03-01",15768.6021602995
"32_83_2013-03-08",15768.6021602995
"32_83_2013-03-15",15768.6021602995
"32_83_2013-03-22",15768.6021602995
"32_83_2013-03-29",15768.6021602995
"32_83_2013-04-05",15768.6021602995
"32_83_2013-04-12",15768.6021602995
"32_83_2013-04-19",15768.6021602995
"32_83_2013-04-26",15768.6021602995
"32_83_2013-05-03",15768.6021602995
"32_83_2013-05-10",15768.6021602995
"32_83_2013-05-17",15768.6021602995
"32_83_2013-05-24",15768.6021602995
"32_83_2013-05-31",15768.6021602995
"32_83_2013-06-07",15768.6021602995
"32_83_2013-06-14",15768.6021602995
"32_83_2013-06-21",15768.6021602995
"32_83_2013-06-28",15768.6021602995
"32_83_2013-07-05",15768.6021602995
"32_83_2013-07-12",15768.6021602995
"32_83_2013-07-19",15768.6021602995
"32_83_2013-07-26",15768.6021602995
"32_85_2012-11-02",15768.6021602995
"32_85_2012-11-09",15768.6021602995
"32_85_2012-11-16",15768.6021602995
"32_85_2012-11-23",16436.3345157501
"32_85_2012-11-30",15768.6021602995
"32_85_2012-12-07",15768.6021602995
"32_85_2012-12-14",15768.6021602995
"32_85_2012-12-21",15768.6021602995
"32_85_2012-12-28",16436.3345157501
"32_85_2013-01-04",15768.6021602995
"32_85_2013-01-11",15768.6021602995
"32_85_2013-01-18",15768.6021602995
"32_85_2013-01-25",15768.6021602995
"32_85_2013-02-01",15768.6021602995
"32_85_2013-02-08",16436.3345157501
"32_85_2013-02-15",15768.6021602995
"32_85_2013-02-22",15768.6021602995
"32_85_2013-03-01",15768.6021602995
"32_85_2013-03-08",15768.6021602995
"32_85_2013-03-15",15768.6021602995
"32_85_2013-03-22",15768.6021602995
"32_85_2013-03-29",15768.6021602995
"32_85_2013-04-05",15768.6021602995
"32_85_2013-04-12",15768.6021602995
"32_85_2013-04-19",15768.6021602995
"32_85_2013-04-26",15768.6021602995
"32_85_2013-05-03",15768.6021602995
"32_85_2013-05-10",15768.6021602995
"32_85_2013-05-17",15768.6021602995
"32_85_2013-05-24",15768.6021602995
"32_85_2013-05-31",15768.6021602995
"32_85_2013-06-07",15768.6021602995
"32_85_2013-06-14",15768.6021602995
"32_85_2013-06-21",15768.6021602995
"32_85_2013-06-28",15768.6021602995
"32_85_2013-07-05",15768.6021602995
"32_85_2013-07-12",15768.6021602995
"32_85_2013-07-19",15768.6021602995
"32_85_2013-07-26",15768.6021602995
"32_87_2012-11-02",15768.6021602995
"32_87_2012-11-09",15768.6021602995
"32_87_2012-11-16",15768.6021602995
"32_87_2012-11-23",16436.3345157501
"32_87_2012-11-30",15768.6021602995
"32_87_2012-12-07",15768.6021602995
"32_87_2012-12-14",15768.6021602995
"32_87_2012-12-21",15768.6021602995
"32_87_2012-12-28",16436.3345157501
"32_87_2013-01-04",15768.6021602995
"32_87_2013-01-11",15768.6021602995
"32_87_2013-01-18",15768.6021602995
"32_87_2013-01-25",15768.6021602995
"32_87_2013-02-01",15768.6021602995
"32_87_2013-02-08",16436.3345157501
"32_87_2013-02-15",15768.6021602995
"32_87_2013-02-22",15768.6021602995
"32_87_2013-03-01",15768.6021602995
"32_87_2013-03-08",15768.6021602995
"32_87_2013-03-15",15768.6021602995
"32_87_2013-03-22",15768.6021602995
"32_87_2013-03-29",15768.6021602995
"32_87_2013-04-05",15768.6021602995
"32_87_2013-04-12",15768.6021602995
"32_87_2013-04-19",15768.6021602995
"32_87_2013-04-26",15768.6021602995
"32_87_2013-05-03",15768.6021602995
"32_87_2013-05-10",15768.6021602995
"32_87_2013-05-17",15768.6021602995
"32_87_2013-05-24",15768.6021602995
"32_87_2013-05-31",15768.6021602995
"32_87_2013-06-07",15768.6021602995
"32_87_2013-06-14",15768.6021602995
"32_87_2013-06-21",15768.6021602995
"32_87_2013-06-28",15768.6021602995
"32_87_2013-07-05",15768.6021602995
"32_87_2013-07-12",15768.6021602995
"32_87_2013-07-19",15768.6021602995
"32_87_2013-07-26",15768.6021602995
"32_90_2012-11-02",15768.6021602995
"32_90_2012-11-09",15768.6021602995
"32_90_2012-11-16",15768.6021602995
"32_90_2012-11-23",16436.3345157501
"32_90_2012-11-30",15768.6021602995
"32_90_2012-12-07",15768.6021602995
"32_90_2012-12-14",15768.6021602995
"32_90_2012-12-21",15768.6021602995
"32_90_2012-12-28",16436.3345157501
"32_90_2013-01-04",15768.6021602995
"32_90_2013-01-11",15768.6021602995
"32_90_2013-01-18",15768.6021602995
"32_90_2013-01-25",15768.6021602995
"32_90_2013-02-01",15768.6021602995
"32_90_2013-02-08",16436.3345157501
"32_90_2013-02-15",15768.6021602995
"32_90_2013-02-22",15768.6021602995
"32_90_2013-03-01",15768.6021602995
"32_90_2013-03-08",15768.6021602995
"32_90_2013-03-15",15768.6021602995
"32_90_2013-03-22",15768.6021602995
"32_90_2013-03-29",15768.6021602995
"32_90_2013-04-05",15768.6021602995
"32_90_2013-04-12",15768.6021602995
"32_90_2013-04-19",15768.6021602995
"32_90_2013-04-26",15768.6021602995
"32_90_2013-05-03",15768.6021602995
"32_90_2013-05-10",15768.6021602995
"32_90_2013-05-17",15768.6021602995
"32_90_2013-05-24",15768.6021602995
"32_90_2013-05-31",15768.6021602995
"32_90_2013-06-07",15768.6021602995
"32_90_2013-06-14",15768.6021602995
"32_90_2013-06-21",15768.6021602995
"32_90_2013-06-28",15768.6021602995
"32_90_2013-07-05",15768.6021602995
"32_90_2013-07-12",15768.6021602995
"32_90_2013-07-19",15768.6021602995
"32_90_2013-07-26",15768.6021602995
"32_91_2012-11-02",15768.6021602995
"32_91_2012-11-09",15768.6021602995
"32_91_2012-11-16",15768.6021602995
"32_91_2012-11-23",16436.3345157501
"32_91_2012-11-30",15768.6021602995
"32_91_2012-12-07",15768.6021602995
"32_91_2012-12-14",15768.6021602995
"32_91_2012-12-21",15768.6021602995
"32_91_2012-12-28",16436.3345157501
"32_91_2013-01-04",15768.6021602995
"32_91_2013-01-11",15768.6021602995
"32_91_2013-01-18",15768.6021602995
"32_91_2013-01-25",15768.6021602995
"32_91_2013-02-01",15768.6021602995
"32_91_2013-02-08",16436.3345157501
"32_91_2013-02-15",15768.6021602995
"32_91_2013-02-22",15768.6021602995
"32_91_2013-03-01",15768.6021602995
"32_91_2013-03-08",15768.6021602995
"32_91_2013-03-15",15768.6021602995
"32_91_2013-03-22",15768.6021602995
"32_91_2013-03-29",15768.6021602995
"32_91_2013-04-05",15768.6021602995
"32_91_2013-04-12",15768.6021602995
"32_91_2013-04-19",15768.6021602995
"32_91_2013-04-26",15768.6021602995
"32_91_2013-05-03",15768.6021602995
"32_91_2013-05-10",15768.6021602995
"32_91_2013-05-17",15768.6021602995
"32_91_2013-05-24",15768.6021602995
"32_91_2013-05-31",15768.6021602995
"32_91_2013-06-07",15768.6021602995
"32_91_2013-06-14",15768.6021602995
"32_91_2013-06-21",15768.6021602995
"32_91_2013-06-28",15768.6021602995
"32_91_2013-07-05",15768.6021602995
"32_91_2013-07-12",15768.6021602995
"32_91_2013-07-19",15768.6021602995
"32_91_2013-07-26",15768.6021602995
"32_92_2012-11-02",15768.6021602995
"32_92_2012-11-09",15768.6021602995
"32_92_2012-11-16",15768.6021602995
"32_92_2012-11-23",16436.3345157501
"32_92_2012-11-30",15768.6021602995
"32_92_2012-12-07",15768.6021602995
"32_92_2012-12-14",15768.6021602995
"32_92_2012-12-21",15768.6021602995
"32_92_2012-12-28",16436.3345157501
"32_92_2013-01-04",15768.6021602995
"32_92_2013-01-11",15768.6021602995
"32_92_2013-01-18",15768.6021602995
"32_92_2013-01-25",15768.6021602995
"32_92_2013-02-01",15768.6021602995
"32_92_2013-02-08",16436.3345157501
"32_92_2013-02-15",15768.6021602995
"32_92_2013-02-22",15768.6021602995
"32_92_2013-03-01",15768.6021602995
"32_92_2013-03-08",15768.6021602995
"32_92_2013-03-15",15768.6021602995
"32_92_2013-03-22",15768.6021602995
"32_92_2013-03-29",15768.6021602995
"32_92_2013-04-05",15768.6021602995
"32_92_2013-04-12",15768.6021602995
"32_92_2013-04-19",15768.6021602995
"32_92_2013-04-26",15768.6021602995
"32_92_2013-05-03",15768.6021602995
"32_92_2013-05-10",15768.6021602995
"32_92_2013-05-17",15768.6021602995
"32_92_2013-05-24",15768.6021602995
"32_92_2013-05-31",15768.6021602995
"32_92_2013-06-07",15768.6021602995
"32_92_2013-06-14",15768.6021602995
"32_92_2013-06-21",15768.6021602995
"32_92_2013-06-28",15768.6021602995
"32_92_2013-07-05",15768.6021602995
"32_92_2013-07-12",15768.6021602995
"32_92_2013-07-19",15768.6021602995
"32_92_2013-07-26",15768.6021602995
"32_93_2012-11-02",15768.6021602995
"32_93_2012-11-09",15768.6021602995
"32_93_2012-11-16",15768.6021602995
"32_93_2012-11-23",16436.3345157501
"32_93_2012-11-30",15768.6021602995
"32_93_2012-12-07",15768.6021602995
"32_93_2012-12-14",15768.6021602995
"32_93_2012-12-21",15768.6021602995
"32_93_2012-12-28",16436.3345157501
"32_93_2013-01-04",15768.6021602995
"32_93_2013-01-11",15768.6021602995
"32_93_2013-01-18",15768.6021602995
"32_93_2013-01-25",15768.6021602995
"32_93_2013-02-01",15768.6021602995
"32_93_2013-02-08",16436.3345157501
"32_93_2013-02-15",15768.6021602995
"32_93_2013-02-22",15768.6021602995
"32_93_2013-03-01",15768.6021602995
"32_93_2013-03-08",15768.6021602995
"32_93_2013-03-15",15768.6021602995
"32_93_2013-03-22",15768.6021602995
"32_93_2013-03-29",15768.6021602995
"32_93_2013-04-05",15768.6021602995
"32_93_2013-04-12",15768.6021602995
"32_93_2013-04-19",15768.6021602995
"32_93_2013-04-26",15768.6021602995
"32_93_2013-05-03",15768.6021602995
"32_93_2013-05-10",15768.6021602995
"32_93_2013-05-17",15768.6021602995
"32_93_2013-05-24",15768.6021602995
"32_93_2013-05-31",15768.6021602995
"32_93_2013-06-07",15768.6021602995
"32_93_2013-06-14",15768.6021602995
"32_93_2013-06-21",15768.6021602995
"32_93_2013-06-28",15768.6021602995
"32_93_2013-07-05",15768.6021602995
"32_93_2013-07-12",15768.6021602995
"32_93_2013-07-19",15768.6021602995
"32_93_2013-07-26",15768.6021602995
"32_94_2012-11-02",15768.6021602995
"32_94_2012-11-09",15768.6021602995
"32_94_2012-11-16",15768.6021602995
"32_94_2012-11-23",16436.3345157501
"32_94_2012-11-30",15768.6021602995
"32_94_2012-12-07",15768.6021602995
"32_94_2012-12-14",15768.6021602995
"32_94_2012-12-21",15768.6021602995
"32_94_2012-12-28",16436.3345157501
"32_94_2013-01-04",15768.6021602995
"32_94_2013-01-11",15768.6021602995
"32_94_2013-01-18",15768.6021602995
"32_94_2013-01-25",15768.6021602995
"32_94_2013-02-01",15768.6021602995
"32_94_2013-02-08",16436.3345157501
"32_94_2013-02-15",15768.6021602995
"32_94_2013-02-22",15768.6021602995
"32_94_2013-03-01",15768.6021602995
"32_94_2013-03-08",15768.6021602995
"32_94_2013-03-15",15768.6021602995
"32_94_2013-03-22",15768.6021602995
"32_94_2013-03-29",15768.6021602995
"32_94_2013-04-05",15768.6021602995
"32_94_2013-04-12",15768.6021602995
"32_94_2013-04-19",15768.6021602995
"32_94_2013-04-26",15768.6021602995
"32_94_2013-05-03",15768.6021602995
"32_94_2013-05-10",15768.6021602995
"32_94_2013-05-17",15768.6021602995
"32_94_2013-05-24",15768.6021602995
"32_94_2013-05-31",15768.6021602995
"32_94_2013-06-07",15768.6021602995
"32_94_2013-06-14",15768.6021602995
"32_94_2013-06-21",15768.6021602995
"32_94_2013-06-28",15768.6021602995
"32_94_2013-07-05",15768.6021602995
"32_94_2013-07-12",15768.6021602995
"32_94_2013-07-19",15768.6021602995
"32_94_2013-07-26",15768.6021602995
"32_95_2012-11-02",15768.6021602995
"32_95_2012-11-09",15768.6021602995
"32_95_2012-11-16",15768.6021602995
"32_95_2012-11-23",16436.3345157501
"32_95_2012-11-30",15768.6021602995
"32_95_2012-12-07",15768.6021602995
"32_95_2012-12-14",15768.6021602995
"32_95_2012-12-21",15768.6021602995
"32_95_2012-12-28",16436.3345157501
"32_95_2013-01-04",15768.6021602995
"32_95_2013-01-11",15768.6021602995
"32_95_2013-01-18",15768.6021602995
"32_95_2013-01-25",15768.6021602995
"32_95_2013-02-01",15768.6021602995
"32_95_2013-02-08",16436.3345157501
"32_95_2013-02-15",15768.6021602995
"32_95_2013-02-22",15768.6021602995
"32_95_2013-03-01",15768.6021602995
"32_95_2013-03-08",15768.6021602995
"32_95_2013-03-15",15768.6021602995
"32_95_2013-03-22",15768.6021602995
"32_95_2013-03-29",15768.6021602995
"32_95_2013-04-05",15768.6021602995
"32_95_2013-04-12",15768.6021602995
